"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Nov-2020","EQ","2,627.00","2,652.70","2,581.95","2,601.95","2,619.90","2,622.65","2,625.29","3,031.20","1,583.25","4,52,864","1,18,89,01,403.15","26,642"
"23-Nov-2020","EQ","2,609.90","2,628.75","2,565.00","2,609.90","2,611.00","2,601.95","2,600.62","3,031.20","1,583.25","6,60,679","1,71,81,75,028.60","24,224"
"20-Nov-2020","EQ","2,634.95","2,643.20","2,601.00","2,634.60","2,608.00","2,609.90","2,612.96","3,031.20","1,583.25","4,22,239","1,10,32,95,663.75","20,988"
"19-Nov-2020","EQ","2,680.00","2,708.60","2,621.60","2,676.55","2,622.00","2,634.60","2,669.66","3,031.20","1,583.25","6,76,028","1,80,47,62,780.05","33,950"
"18-Nov-2020","EQ","2,650.00","2,687.75","2,593.00","2,656.20","2,685.00","2,676.55","2,632.77","3,031.20","1,583.25","7,29,513","1,92,06,42,976.55","30,725"
"17-Nov-2020","EQ","2,720.05","2,740.00","2,639.05","2,728.05","2,653.50","2,656.20","2,681.39","3,031.20","1,583.25","9,97,314","2,67,41,92,335.15","44,372"
"14-Nov-2020","EQ","2,745.65","2,755.90","2,702.00","2,729.35","2,718.00","2,728.05","2,740.45","3,031.20","1,583.25","74,668","20,46,23,666.15","3,916"
"13-Nov-2020","EQ","2,618.00","2,747.80","2,595.00","2,618.80","2,728.00","2,729.35","2,693.35","3,031.20","1,583.25","12,98,177","3,49,64,51,240.40","46,879"
"12-Nov-2020","EQ","2,552.00","2,644.80","2,510.00","2,556.05","2,623.00","2,618.80","2,607.90","3,031.20","1,583.25","8,17,285","2,13,14,00,493.85","34,574"
"11-Nov-2020","EQ","2,442.00","2,575.00","2,435.75","2,431.70","2,536.15","2,556.05","2,527.59","3,031.20","1,583.25","9,12,503","2,30,64,32,473.70","46,237"
"10-Nov-2020","EQ","2,564.55","2,569.70","2,418.75","2,552.10","2,438.60","2,431.70","2,471.65","3,031.20","1,583.25","7,81,494","1,93,15,81,835.50","46,044"
"09-Nov-2020","EQ","2,570.80","2,581.50","2,533.05","2,556.50","2,551.00","2,552.10","2,561.68","3,031.20","1,583.25","6,10,442","1,56,37,54,336.95","31,305"
"06-Nov-2020","EQ","2,604.00","2,616.30","2,544.00","2,604.30","2,550.00","2,556.50","2,579.10","3,031.20","1,583.25","4,99,688","1,28,87,45,815.45","36,169"
"05-Nov-2020","EQ","2,612.00","2,634.50","2,591.65","2,600.70","2,598.00","2,604.30","2,609.50","3,031.20","1,583.25","3,26,500","85,20,03,085.40","16,060"
"04-Nov-2020","EQ","2,579.90","2,612.85","2,558.35","2,576.95","2,598.00","2,600.70","2,592.43","3,031.20","1,583.25","2,98,699","77,43,57,011.70","17,613"
"03-Nov-2020","EQ","2,555.00","2,598.75","2,539.30","2,547.55","2,572.10","2,576.95","2,571.54","3,031.20","1,583.25","4,03,044","1,03,64,44,754.60","20,978"
"02-Nov-2020","EQ","2,566.00","2,574.85","2,508.35","2,566.85","2,540.00","2,547.55","2,539.91","3,031.20","1,583.25","2,53,011","64,26,26,062.60","15,438"
"30-Oct-2020","EQ","2,520.00","2,582.75","2,520.00","2,519.55","2,562.00","2,566.85","2,552.37","3,031.20","1,583.25","6,49,735","1,65,83,66,176.20","29,480"
"29-Oct-2020","EQ","2,529.85","2,563.40","2,499.05","2,545.80","2,520.00","2,519.55","2,530.60","3,031.20","1,583.25","4,42,895","1,12,07,88,689.40","19,455"
"28-Oct-2020","EQ","2,598.00","2,648.00","2,525.00","2,600.35","2,530.00","2,545.80","2,591.64","3,031.20","1,583.25","6,82,883","1,76,97,85,207.60","27,878"
"27-Oct-2020","EQ","2,640.00","2,645.00","2,551.00","2,656.65","2,605.40","2,600.35","2,594.79","3,031.20","1,583.25","14,22,120","3,69,01,06,201.35","61,476"
"26-Oct-2020","EQ","2,752.90","2,774.40","2,642.00","2,733.75","2,650.15","2,656.65","2,697.15","3,031.20","1,583.25","8,55,785","2,30,81,79,565.35","37,301"
"23-Oct-2020","EQ","2,728.80","2,814.50","2,716.00","2,715.15","2,730.00","2,733.75","2,770.72","3,031.20","1,583.25","10,17,162","2,81,82,70,892.55","45,756"
"22-Oct-2020","EQ","2,690.90","2,730.35","2,650.00","2,702.90","2,719.90","2,715.15","2,699.24","3,031.20","1,583.25","4,36,467","1,17,81,28,039.40","19,709"
"21-Oct-2020","EQ","2,719.25","2,731.95","2,681.50","2,711.65","2,700.00","2,702.90","2,706.96","3,031.20","1,583.25","3,26,698","88,43,59,873.15","17,289"
"20-Oct-2020","EQ","2,673.10","2,728.50","2,649.00","2,673.10","2,704.05","2,711.65","2,702.63","3,031.20","1,583.25","5,86,593","1,58,53,43,476.30","26,015"
"19-Oct-2020","EQ","2,739.80","2,744.00","2,662.20","2,744.20","2,676.00","2,673.10","2,682.89","3,031.20","1,583.25","3,87,302","1,03,90,87,442.00","23,606"
"16-Oct-2020","EQ","2,730.00","2,775.00","2,682.50","2,721.20","2,740.00","2,744.20","2,724.78","3,031.20","1,583.25","4,77,714","1,30,16,67,311.30","25,140"
"15-Oct-2020","EQ","2,770.00","2,790.10","2,710.00","2,758.45","2,720.00","2,721.20","2,750.08","3,031.20","1,583.25","4,01,028","1,10,28,57,471.35","17,926"
"14-Oct-2020","EQ","2,824.40","2,827.55","2,746.05","2,813.80","2,760.45","2,758.45","2,772.74","3,031.20","1,583.25","4,37,622","1,21,34,11,547.70","20,925"
"13-Oct-2020","EQ","2,840.80","2,896.00","2,807.00","2,840.80","2,819.80","2,813.80","2,853.71","3,031.20","1,583.25","4,46,646","1,27,45,99,905.50","20,574"
"12-Oct-2020","EQ","2,820.00","2,849.30","2,797.00","2,799.70","2,841.05","2,840.80","2,827.74","3,031.20","1,583.25","4,05,203","1,14,58,06,843.45","19,873"
"09-Oct-2020","EQ","2,893.00","2,934.00","2,790.00","2,866.45","2,799.95","2,799.70","2,859.86","3,031.20","1,555.00","11,39,546","3,25,89,41,512.50","48,611"
"08-Oct-2020","EQ","2,815.00","2,888.00","2,811.60","2,811.75","2,872.00","2,866.45","2,855.77","3,031.20","1,555.00","5,30,955","1,51,62,85,998.70","24,399"
"07-Oct-2020","EQ","2,805.00","2,855.00","2,775.00","2,815.10","2,812.00","2,811.75","2,817.60","3,031.20","1,555.00","5,09,475","1,43,54,95,016.90","32,767"
"06-Oct-2020","EQ","2,830.35","2,846.30","2,806.55","2,822.55","2,811.90","2,815.10","2,822.30","3,031.20","1,555.00","2,92,185","82,46,34,977.20","12,046"
"05-Oct-2020","EQ","2,817.20","2,840.00","2,761.20","2,817.20","2,830.50","2,822.55","2,793.85","3,031.20","1,555.00","8,29,804","2,31,83,47,675.05","36,561"
