,,Torrent Pharmaceuticals Ltd.,,,,Nifty 50,,
DATE,,PREV. CLOSE,CLOSE,Daily Return,,OPEN,CLOSE,Daily Return %
06-08-2024,,3167.5,3220.55,1.674822415,,24189.85,23992.55,-0.81563135
05-08-2024,,3228.1,3167.5,-1.877265264,,24302.85,24055.6,-1.017370391
02-08-2024,,3205,3228.1,0.72074883,,24789,24717.7,-0.287627577
01-08-2024,,3171.75,3205,1.048317175,,25030.95,25010.9,-0.080100835
31-07-2024,,3111.15,3171.75,1.947832795,,24886.7,24951.15,0.258973669
30-07-2024,,3198.4,3111.15,-2.727926463,,24839.4,24857.3,0.072062932
29-07-2024,,3194.9,3198.4,0.109549595,,24943.3,24836.1,-0.429774729
26-07-2024,,3085.25,3194.9,3.554006969,,24423.35,24834.85,1.684863051
25-07-2024,,3145.9,3085.25,-1.927906164,,24230.95,24406.1,0.722835877
24-07-2024,,3138.7,3145.9,0.229394335,,24444.95,24413.5,-0.12865643
23-07-2024,,3029.8,3138.7,3.594296653,,24568.9,24479.05,-0.365706238
22-07-2024,,2946.35,3029.8,2.832317953,,24445.75,24509.25,0.259758854
19-07-2024,,3058.3,2946.35,-3.66053036,,24853.8,24530.9,-1.299197708
18-07-2024,,2975.05,3058.3,2.798272298,,24543.8,24800.85,1.047311337
16-07-2024,,2953.7,2975.05,0.722822223,,24615.9,24613,-0.011781003
15-07-2024,,2948.45,2953.7,0.178059658,,24587.6,24586.7,-0.003660382
12-07-2024,,2958.4,2948.45,-0.336330449,,24387.95,24502.15,0.46826404
11-07-2024,,2951.75,2958.4,0.225290082,,24396.55,24315.95,-0.330374582
10-07-2024,,2936.1,2951.75,0.533019993,,24459.85,24324.45,-0.553560222
09-07-2024,,2882.75,2936.1,1.850663429,,24351,24433.2,0.337563139
08-07-2024,,2891.1,2882.75,-0.288817405,,24329.45,24320.55,-0.03658118
05-07-2024,,2870.3,2891.1,0.724662927,,24213.35,24323.85,0.456359818
04-07-2024,,2837.5,2870.3,1.155947137,,24369.95,24302.15,-0.278211486
03-07-2024,,2819.65,2837.5,0.633057294,,24291.75,24286.5,-0.021612276
02-07-2024,,2781.2,2819.65,1.382496764,,24228.75,24123.85,-0.432956715
01-07-2024,,2791.3,2781.2,-0.36183857,,23992.95,24141.95,0.621015757
28-06-2024,,2771.7,2791.3,0.707147238,,24085.9,24010.6,-0.312631041
27-06-2024,,2790.55,2771.7,-0.675494078,,23881.55,24044.5,0.682325896
26-06-2024,,2830.45,2790.55,-1.40966984,,23723.1,23868.8,0.614169312
25-06-2024,,2840.45,2830.45,-0.352056892,,23577.1,23721.3,0.611610419
24-06-2024,,2831.25,2840.45,0.324944812,,23382.3,23537.85,0.665246789
21-06-2024,,2858.1,2831.25,-0.939435289,,23661.15,23501.1,-0.676425279
20-06-2024,,2885.55,2858.1,-0.951291781,,23586.15,23567,-0.081191716
19-06-2024,,2886.85,2885.55,-0.045031782,,23629.85,23516,-0.481805851
18-06-2024,,2882.1,2886.85,0.164810381,,23570.8,23557.9,-0.054728732
14-06-2024,,2874.9,2882.1,0.250443494,,23464.95,23465.6,0.002770089
13-06-2024,,2893.5,2874.9,-0.642820114,,23480.95,23398.9,-0.349432199
12-06-2024,,2851,2893.5,1.490705016,,23344.45,23322.95,-0.092098979
11-06-2024,,2863.95,2851,-0.452172699,,23283.75,23264.85,-0.081172492
10-06-2024,,2844.95,2863.95,0.66785005,,23319.15,23259.2,-0.257084842
07-06-2024,,2782,2844.95,2.262760604,,22821.85,23290.15,2.051980887
06-06-2024,,2780.4,2782,0.057545677,,22798.6,22821.4,0.100006141
05-06-2024,,2694,2780.4,3.207126949,,22128.35,22620.35,2.223392164
04-06-2024,,2677.95,2694,0.599339047,,23179.5,21884.5,-5.586833193
03-06-2024,,2696.05,2677.95,-0.671352534,,23337.9,23263.9,-0.3170808
31-05-2024,,2658.05,2696.05,1.429619458,,22568.1,22530.7,-0.165720641
30-05-2024,,2714.2,2658.05,-2.068749539,,22617.45,22488.65,-0.569471802
29-05-2024,,2666.7,2714.2,1.781227735,,22762.75,22704.7,-0.255021911
28-05-2024,,2655.25,2666.7,0.431221166,,22977.15,22888.15,-0.387341337
27-05-2024,,2612.55,2655.25,1.63441848,,23038.95,22932.45,-0.46226065
24-05-2024,,2692.9,2612.55,-2.983772142,,22930.75,22957.1,0.1149112
23-05-2024,,2663.75,2692.9,1.094321915,,22614.1,22967.65,1.563405132
22-05-2024,,2681.7,2663.75,-0.669351531,,22576.6,22597.8,0.093902536
21-05-2024,,2707,2681.7,-0.934613964,,22404.55,22529.05,0.555690697
18-05-2024,,2698.7,2707,0.30755549,,22512.85,22502,-0.048194698
17-05-2024,,2699.95,2698.7,-0.046297154,,22415.25,22466.1,0.226854485
16-05-2024,,2648.95,2699.95,1.925291153,,22319.2,22403.85,0.379269866
15-05-2024,,2630.65,2648.95,0.695645563,,22255.6,22200.55,-0.247353475
14-05-2024,,2604.6,2630.65,1.000153574,,22112.9,22217.85,0.474609843
13-05-2024,,2599.9,2604.6,0.180776184,,22027.95,22104.05,0.345470187
10-05-2024,,2524.35,2599.9,2.992849644,,21990.95,22055.2,0.292165641
09-05-2024,,2587.55,2524.35,-2.44246488,,22224.8,21957.5,-1.202710486
08-05-2024,,2619.35,2587.55,-1.214041652,,22231.2,22302.5,0.320720429
07-05-2024,,2717.2,2619.35,-3.60113352,,22489.75,22302.5,-0.832601518
06-05-2024,,2734.7,2717.2,-0.63992394,,22561.6,22442.7,-0.527001631
03-05-2024,,2670,2734.7,2.423220974,,22766.35,22475.85,-1.276006035
02-05-2024,,2642.55,2670,1.03876937,,22567.85,22648.2,0.35603746
30-04-2024,,2687.45,2642.55,-1.670728758,,22679.65,22604.85,-0.329811086
29-04-2024,,2691,2687.45,-0.131921219,,22475.55,22643.4,0.746811535
