"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Nov-2022","EQ","1,625.00","1,625.00","1,601.55","1,620.85","1,609.00","1,614.15","1,612.22","3,298.50","1,430.00","2,02,994","32,72,69,972.05","17,337"
"23-Nov-2022","EQ","1,643.35","1,645.15","1,610.00","1,635.15","1,629.10","1,620.85","1,620.98","3,298.50","1,430.00","2,02,950","32,89,78,088.40","17,427"
"22-Nov-2022","EQ","1,630.00","1,639.25","1,618.05","1,625.20","1,634.35","1,635.15","1,622.99","3,298.50","1,430.00","5,83,876","94,76,27,108.85","16,374"
"21-Nov-2022","EQ","1,629.90","1,630.85","1,605.10","1,621.75","1,629.45","1,625.20","1,621.79","3,298.50","1,430.00","2,12,170","34,40,95,904.55","20,014"
"18-Nov-2022","EQ","1,628.00","1,641.20","1,602.75","1,628.00","1,624.75","1,621.75","1,616.77","3,298.50","1,430.00","1,60,334","25,92,22,688.20","20,183"
"17-Nov-2022","EQ","1,623.75","1,633.70","1,596.55","1,619.00","1,632.65","1,628.00","1,613.92","3,298.50","1,430.00","2,07,207","33,44,15,052.10","19,382"
"16-Nov-2022","EQ","1,654.00","1,654.00","1,603.00","1,654.95","1,623.80","1,619.00","1,621.14","3,298.50","1,430.00","4,62,008","74,89,77,898.45","39,102"
"15-Nov-2022","EQ","1,656.80","1,667.40","1,637.20","1,648.60","1,662.00","1,654.95","1,648.03","3,298.50","1,430.00","2,73,727","45,11,09,089.40","20,485"
"14-Nov-2022","EQ","1,676.25","1,676.25","1,639.60","1,669.05","1,650.00","1,648.60","1,650.44","3,298.50","1,430.00","2,52,686","41,70,44,082.70","16,805"
"11-Nov-2022","EQ","1,670.00","1,684.80","1,660.90","1,664.65","1,666.00","1,669.05","1,671.11","3,298.50","1,430.00","79,294","13,25,09,219.55","7,675"
