"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Nov-2023","EQ","2,109.90","2,129.00","2,083.30","2,106.55","2,084.75","2,090.80","2,102.32","2,145.00","1,445.55","1,57,910","33,19,76,669.55","24,107"
"23-Nov-2023","EQ","2,135.05","2,135.95","2,082.00","2,111.55","2,106.95","2,106.55","2,102.49","2,145.00","1,445.55","1,89,688","39,88,16,672.70","22,165"
"22-Nov-2023","EQ","2,116.20","2,132.40","2,083.40","2,119.65","2,123.10","2,111.55","2,105.45","2,145.00","1,445.55","1,64,055","34,54,09,194.45","12,801"
"21-Nov-2023","EQ","2,134.00","2,145.00","2,109.55","2,110.75","2,115.60","2,119.65","2,127.73","2,145.00","1,445.55","2,88,221","61,32,55,734.20","16,980"
"20-Nov-2023","EQ","2,082.35","2,118.80","2,081.80","2,082.35","2,115.50","2,110.75","2,099.99","2,118.80","1,445.55","3,18,186","66,81,86,359.85","24,827"
"17-Nov-2023","EQ","2,039.60","2,088.00","2,024.65","2,039.55","2,075.60","2,082.35","2,072.85","2,094.55","1,445.55","1,47,474","30,56,91,332.50","21,833"
"16-Nov-2023","EQ","2,057.95","2,057.95","2,033.95","2,054.60","2,037.30","2,039.55","2,043.55","2,094.55","1,445.55","3,42,090","69,90,79,175.10","32,329"
"15-Nov-2023","EQ","2,084.75","2,084.75","2,048.75","2,066.00","2,050.55","2,054.60","2,055.22","2,094.55","1,445.55","1,79,655","36,92,30,689.25","20,117"
"13-Nov-2023","EQ","2,056.20","2,075.60","2,049.25","2,063.90","2,060.00","2,066.00","2,062.14","2,094.55","1,445.55","1,88,309","38,83,19,272.60","13,392"
"12-Nov-2023","EQ","2,066.20","2,076.75","2,050.00","2,058.20","2,051.10","2,063.90","2,067.41","2,094.55","1,445.55","17,428","3,60,30,887.40","1,352"
"10-Nov-2023","EQ","2,061.20","2,068.90","2,044.25","2,051.20","2,062.00","2,058.20","2,059.46","2,094.55","1,445.55","2,06,637","42,55,60,314.85","21,472"
"09-Nov-2023","EQ","2,034.45","2,059.90","2,016.90","2,028.10","2,059.90","2,051.20","2,039.67","2,094.55","1,445.55","3,08,733","62,97,14,964.65","28,387"
"08-Nov-2023","EQ","2,017.10","2,053.60","2,002.10","1,998.40","2,027.00","2,028.10","2,029.26","2,094.55","1,445.55","4,39,459","89,17,75,114.55","36,802"
"07-Nov-2023","EQ","1,968.80","2,001.00","1,966.25","1,966.50","1,999.00","1,998.40","1,987.42","2,094.55","1,445.55","2,95,281","58,68,48,140.40","29,140"
"06-Nov-2023","EQ","1,978.40","1,994.00","1,954.55","1,960.40","1,962.40","1,966.50","1,967.22","2,094.55","1,445.55","2,21,392","43,55,25,835.15","20,179"
"03-Nov-2023","EQ","1,935.40","1,967.90","1,932.65","1,927.40","1,960.00","1,960.40","1,953.95","2,094.55","1,445.55","4,01,602","78,47,10,950.25","28,533"
"02-Nov-2023","EQ","1,926.85","1,945.00","1,921.50","1,920.05","1,930.00","1,927.40","1,930.81","2,094.55","1,445.55","2,20,680","42,60,91,430.95","25,531"
"01-Nov-2023","EQ","1,929.80","1,941.55","1,913.35","1,924.25","1,917.55","1,920.05","1,925.85","2,094.55","1,445.55","2,49,601","48,06,92,947.30","28,965"
